OBJECTID,Latitude,Longitude,Depth,Magnitude,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,T1_x,T1_y,T1_z,T1_az,T1_pl,T1_theta,P1_x,P1_y,P1_z,P1_az,P1_pl,P1_theta,B1_x,B1_y,B1_z,B1_az,B1_pl,B1_theta,tipo_falla1,T2_x,T2_y,T2_z,T2_az,T2_pl,T2_theta,P2_x,P2_y,P2_z,P2_az,P2_pl,P2_theta,B2_x,B2_y,B2_z,B2_az,B2_pl,B2_theta,tipo_falla2,ZONA
1,7.5198,-83.0131,28,4.75,185,89,-175,275.1,85,1,-0.763448283,0.64398631,-0.049278315,310.1484068,2.824583466,87.17541653,-0.640210222,-0.764631171,-0.073959745,219.9387573,4.241454096,85.7585459,0.0853088,0.024915959,-0.996042973,73.71861257,84.90122954,5.098770458,TRANSCURRENTE,-0.76340417,0.641677166,0.073922172,310.0486331,4.239295364,85.76070464,0.639850409,0.766914301,-0.049334662,39.83885053,2.827815812,87.17218419,0.088348897,-0.009636845,0.996042973,96.22504948,84.90122954,5.098770458,TRANSCURRENTE,1
2,7.8919,-83.2104,24,4,139,57,115,359.6,40.5,-123.1,-0.065459945,0.380199006,0.922585341,350.2310002,67.30701648,22.69298352,0.843584852,0.514931304,-0.152349431,58.59975701,8.763104151,81.23689585,0.532991175,-0.768306233,0.354437498,145.2500918,20.75897385,69.24102615,INVERSA,-0.379792412,0.912334263,-0.152983387,337.3986987,8.799857967,81.20014203,0.386204408,0.006101593,-0.922393043,89.09486677,67.27847449,22.72152551,0.840597334,0.409400737,0.354664853,64.03227415,20.77290538,69.22709462,NORMAL,1
3,7.8126,-83.1798,9,4.31,250,77,51,355.5,40.8,-20.1,-0.379073744,0.611527174,0.694505301,328.2060349,43.98780916,46.01219084,-0.915792016,-0.140234579,-0.376376469,261.2939658,22.10941258,67.89058742,0.132770779,0.778696847,-0.61319095,9.676098374,37.8205888,52.1794112,OBLICUA,-0.712676773,-0.591899697,0.376492451,230.2893392,22.1165855,67.8834145,-0.640174584,0.329327965,-0.694060223,297.222858,43.95237638,46.04762362,-0.286824543,0.735661499,0.613623533,338.6998573,37.85197172,52.14802828,OBLICUA,1
4,8.011,-82.7316,26,4.51,224,48,-95,36.6,42.2,84.5,-0.736787429,0.674248127,-0.050336336,312.4622223,2.885278898,87.1147211,-0.006725454,-0.081753179,-0.996629914,184.7028674,85.29477768,4.705222316,0.676091009,0.733965858,-0.064769339,42.64965197,3.713609346,86.28639065,NORMAL,-0.082097086,-0.003126682,0.996619432,267.8189339,85.28746172,4.712538278,-0.648484703,0.75951489,-0.051036475,319.5088251,2.92544556,87.07455444,0.756787723,0.650482402,0.064381565,49.31992425,3.691345071,86.30865493,INVERSA,1
5,5.49,-82.58,8,6,2,78,-173,93.5,83.2,12.1,-0.726172264,0.684645537,-0.06272425,313.3140138,3.596195533,86.40380447,0.677895455,0.697821391,-0.231307283,44.17018374,13.37404918,76.62595082,0.114593176,0.210489417,0.970856637,28.56444721,76.13346734,13.86653266,TRANSCURRENTE,-0.72551439,0.648314801,-0.230904285,311.7837605,13.35031661,76.64968339,0.676131661,0.734043146,-0.063455787,42.64836228,3.638193183,86.36180682,-0.128354382,0.202159784,0.970905029,327.5879028,76.14504108,13.85495892,TRANSCURRENTE,1
6,7.061,-82.4856,31,4.1,75.4,79.5,-4.2,344.6,85.9,169.5,-0.504186933,0.86007029,-0.077939932,329.6204874,4.470162734,85.52983727,-0.841444047,-0.509559674,-0.17978002,238.8018411,10.35694685,79.64305315,0.1943385,0.025060645,-0.980614354,82.65205482,78.69991098,11.30008902,TRANSCURRENTE,-0.485453601,0.855723565,-0.179086523,330.4336757,10.31655688,79.68344312,-0.860045542,-0.504223901,-0.077973867,239.6179352,4.472113034,85.52788697,0.157023781,-0.116169871,-0.980738545,126.4949032,78.73628255,11.26371745,TRANSCURRENTE,1
7,7.43,-82.65,30,5.42,0,20,107.4,198.4,71,-96.2,-0.211453772,-0.392212652,-0.89524105,208.3304575,63.53940873,26.46059127,0.211453772,0.875902177,-0.433684999,13.57223363,25.70164778,64.29835222,-0.954240329,0.281006426,0.102277975,286.4087426,5.870361546,84.12963845,INVERSA,-0.355741336,0.82746124,-0.434460583,336.7362105,25.75097491,64.24902509,0.066333569,-0.441342735,-0.894883483,171.4524556,63.49346743,26.50653257,0.932227418,0.347166367,-0.102115397,69.57440606,5.860997505,84.1390025,NORMAL,1
8,7.77,-82.75,6,5.5,180,70,95,14.3,20.6,-103.5,-0.061628417,0.423538554,0.903779305,351.7210856,64.65937447,25.34062553,0.061628417,0.905387495,-0.420089779,3.894034108,24.84025576,65.15974424,0.996194698,-0.02980902,0.081899608,91.71394361,4.69776366,85.30223634,INVERSA,-0.380377003,0.82397293,-0.419978507,335.2201702,24.83323054,65.16676946,0.257475424,-0.341810828,-0.903809584,143.0104265,64.66342823,25.33657177,0.888267832,0.451922525,0.082135802,63.03445024,4.711342288,85.28865771,NORMAL,1
9,8.005,-82.714,4,5.72,180,45,90,360,45,-90,-4.32978E-17,0,-1,270,90,0,7.91669E-17,1,-3.42775E-33,4.53593E-15,0,90,-1,7.91669E-17,4.32978E-17,270,0,90,INVERSA,-2.88227E-16,-1,0,180,0,90,-4.32978E-17,1.24796E-32,-1,270,90,0,-1,2.88227E-16,4.32978E-17,270,0,90,NORMAL,1
10,8.004,-82.776,4,5.28,85,70,-175.2,176.6,85.5,20.1,-0.743506859,-0.642269997,-0.18624393,229.1782766,10.73366485,79.26633515,-0.580362225,0.758093534,-0.297445596,322.5639604,17.30424408,72.69575592,-0.332230701,0.113063899,0.936396987,288.7943346,69.45502259,20.54497741,TRANSCURRENTE,-0.703547025,-0.645272092,-0.297733959,227.4738918,17.32155014,72.67844986,-0.619933697,0.762100336,-0.186776041,320.8732259,10.76469712,79.23530288,-0.347424517,-0.053169585,0.936199338,261.2990068,69.42277818,20.57722182,TRANSCURRENTE,1
